age,ed,employ,address,income,debtinc,creddebt,othdebt,PD,default
26,3,3,1,40,10.8,1.89648,2.42352,0.05294779859483352,1
34,1,10,12,48,5.1,0.264384,2.183616,0.002151322864221403,0
44,4,18,23,78,1.0,0.56472,0.21528,0.001822268923245148,0
46,1,9,6,72,5.0,0.828,2.772,0.008820917367789744,0
40,1,17,5,55,11.4,2.12553,4.14447,0.004011808197515974,0
37,4,2,1,29,15.4,2.782318,1.683682,0.08008559190731669,1
35,3,5,13,30,10.6,1.5264,1.6536,0.021430956531417494,0
46,2,18,18,55,4.4,0.41866,2.00134,0.0006210443175556498,0
40,3,5,18,28,10.0,1.2628,1.5372,0.014741547572693239,0
48,2,21,14,86,1.2,0.145512,0.886488,0.000500678572361164,0
53,1,33,25,324,7.0,7.05348,15.62652,0.0223330997069819,0
45,3,9,0,84,13.1,1.276464,9.727536,0.04374870742434737,1
32,3,6,12,22,6.7,0.384714,1.089286,0.009997294754089442,0
43,1,15,21,62,9.4,0.693532,5.134468,0.0016016725686763137,0
29,2,3,9,32,9.0,1.07136,1.80864,0.025656799187935623,0
47,2,7,24,49,0.9,0.253575,0.187425,0.003766859578535798,0
21,2,1,0,17,10.5,0.555135,1.229865,0.05140277893491006,1
30,1,0,2,20,5.4,0.62208,0.45792,0.04305203008503404,1
25,3,3,2,54,7.4,1.162836,2.833164,0.03794979296559987,1
27,1,6,2,52,13.8,1.90164,5.27436,0.0418943018529268,1
36,1,4,17,25,4.0,0.144,0.856,0.006191888099391511,0
35,1,12,3,30,15.4,1.89882,2.72118,0.01662280662252603,0
33,1,11,6,35,15.9,0.506415,5.058585,0.013168290011913634,0
21,3,0,1,41,19.5,2.36652,5.62848,0.08316422685987367,1
44,1,18,0,61,10.8,2.806488,3.781512,0.008158388890266984,0
37,1,19,7,38,13.5,2.59065,2.53935,0.005077497627573233,0
27,1,5,7,26,6.8,0.54808,1.21992,0.011221994471145974,0
37,2,11,11,47,9.6,1.597248,2.914752,0.007416417833076443,0
48,2,9,22,44,5.9,2.133912,0.462088,0.009132662575332668,0
30,1,4,2,21,3.5,0.228585,0.506415,0.015622220246743306,0
22,4,0,1,25,12.2,1.49145,1.55855,0.07104857924880023,1
39,2,18,18,47,7.6,1.564536,2.007464,0.0019788862302982414,0
26,1,5,6,18,15.5,0.57474,2.21526,0.02312163577407111,0
29,2,9,8,30,21.7,3.6456,2.8644,0.04595968979170685,1
47,1,29,20,169,2.2,0.349492,3.368508,0.0010564192740357009,0
33,2,5,2,37,8.4,1.028748,2.079252,0.026022621388716787,0
23,2,2,2,48,7.5,0.5112,3.0888,0.03648184602609121,0
25,2,5,5,35,16.5,1.969275,3.805725,0.04715552146344277,1
34,1,4,6,23,5.6,0.616952,0.671048,0.017199844032828104,0
56,1,19,26,66,3.3,0.847242,1.330758,0.003626140276576796,0
32,1,7,10,23,9.8,0.861028,1.392972,0.008746297399483708,0
27,3,0,4,50,14.7,1.0437,6.3063,0.061459420758197665,1
41,2,6,7,36,13.9,1.486188,3.517812,0.03457736955329026,0
30,1,8,11,27,20.3,3.743523,1.737477,0.045135342546391996,1
38,4,13,2,126,13.7,7.612542,9.649458,0.08132081134703247,1
31,1,6,1,45,7.3,0.58473,2.70027,0.01637348030117768,0
37,3,16,8,75,0.1,0.02205,0.05295,0.004063779062738213,0
30,2,2,2,26,3.8,0.248976,0.739024,0.03308367267208705,0
44,2,8,18,43,5.0,0.5547,1.5953,0.0035097242671246996,0
25,2,5,3,42,15.5,3.36567,3.14433,0.0634471966052802,1
33,2,10,2,54,3.0,0.11988,1.50012,0.004803431080350064,0
25,1,3,5,31,8.1,0.881361,1.629639,0.028292888222575627,0
45,1,14,26,46,5.1,1.262148,1.083852,0.002236188919307005,0
23,1,6,2,15,12.7,1.37541,0.52959,0.03245162217956641,0
43,1,24,22,254,7.7,7.001764,12.556236,0.01979107527149778,0
38,2,12,14,40,5.1,0.8976,1.1424,0.0018305304769809592,0
24,1,1,4,16,7.2,0.877824,0.274176,0.03851377245796166,1
29,2,2,4,16,10.5,0.43344,1.24656,0.038651933618464564,1
40,1,23,16,81,10.9,0.997677,7.831323,0.0016070214749854832,0
47,1,3,1,21,15.4,0.067914,3.166086,0.05110520139784639,1
24,1,1,5,16,9.2,0.185472,1.286528,0.03387124228968083,0
35,2,0,6,35,12.4,2.38266,1.95734,0.06475376992457425,1
38,1,1,9,42,9.1,0.890526,2.931474,0.03422146484933888,0
48,1,10,0,70,28.2,10.67934,9.06066,0.09637320361592973,1
35,2,12,12,64,15.0,1.4496,8.1504,0.009061389240228439,0
27,1,11,1,21,11.4,0.914508,1.479492,0.010459008016432425,0
47,3,16,7,266,2.0,2.19184,3.12816,0.015998556564345616,0
31,1,3,5,16,32.3,3.064624,2.103376,0.08772631105142638,1
30,1,12,4,40,7.0,1.2488,1.5512,0.005902590733666166,0
29,2,10,3,61,6.2,0.798002,2.983998,0.008300106199544527,0
26,4,1,6,64,23.3,7.75424,7.15776,0.09693371041696222,1
38,1,21,17,65,16.8,2.53344,8.38656,0.0030964121303007713,0
45,1,7,17,29,6.1,0.739442,1.029558,0.005598020299554842,0
29,1,3,10,23,9.3,1.103724,1.035276,0.023051915182786913,0
52,1,17,4,73,8.7,1.054266,5.296734,0.005654992731175363,0
24,1,1,0,20,4.1,0.32472,0.49528,0.04127196225754918,1
33,2,8,13,27,9.8,1.645812,1.000188,0.011312123410918504,0
38,2,0,18,21,4.6,0.612444,0.353556,0.021412116222054075,0
26,1,0,2,15,5.4,0.38556,0.42444,0.03966561614531604,1
26,1,2,5,22,6.4,0.236544,1.171456,0.027137946974247457,0
35,1,16,0,37,17.2,4.212968,2.151032,0.027689163557961506,0
43,1,9,8,66,8.8,2.340624,3.467376,0.01829764325067339,0
45,3,8,1,140,13.9,4.1839,15.2761,0.08189511048938415,1
24,1,5,1,46,3.8,0.529644,1.218356,0.01654302451027929,0
44,3,7,16,78,10.5,3.15315,5.03685,0.03051245248521277,0
29,2,0,7,23,8.0,1.242,0.598,0.044029435728086146,1
22,2,0,0,14,17.1,0.241794,2.152206,0.06618409495930619,1
38,1,16,8,37,8.6,0.082732,3.099268,0.0015302192609390854,0
46,1,6,19,30,17.6,1.41504,3.86496,0.023245961470729406,0
46,4,7,16,73,1.1,0.555676,0.247324,0.005486019105234028,0
32,1,13,11,25,7.5,0.59625,1.27875,0.0018901398861334423,0
39,3,16,10,126,6.8,1.405152,7.162848,0.00412200590245957,0
40,2,15,19,138,4.1,1.222128,4.435872,0.0013952800041713224,0
47,1,16,19,110,12.6,5.8212,8.0388,0.028557557350715603,0
28,1,10,1,42,8.6,1.04748,2.56452,0.01175858623586523,0
36,1,19,8,45,12.1,0.920205,4.524795,0.002206963888909014,0
41,2,13,1,93,14.7,9.542358,4.128642,0.08529037750860696,1
31,2,12,8,44,9.6,1.867008,2.356992,0.0068220004078903195,0
39,1,20,8,116,4.1,2.240076,2.515924,0.0017449612835918687,0
37,1,4,10,24,14.2,0.419184,2.988816,0.023649257793149425,0
35,2,11,1,62,32.4,9.702504,10.385496,0.09596895044649209,1
35,4,10,12,45,8.5,1.0404,2.7846,0.0062242425679844655,0
51,4,15,30,26,13.6,2.011984,1.524016,0.00809781128246872,0
36,1,5,2,27,7.0,0.72387,1.16613,0.02123107325410657,0
23,1,3,4,13,3.1,0.045539,0.357461,0.019489214234948465,0
34,1,12,15,32,2.7,0.239328,0.624672,0.0007852331158843106,0
32,2,12,11,116,5.7,4.026708,2.585292,0.011396839232746968,0
48,1,13,11,38,10.8,0.722304,3.381696,0.0051381201351401755,0
35,2,1,11,24,7.8,0.417456,1.454544,0.025785545117031093,0
37,1,20,13,41,12.9,0.89913,4.38987,0.003275612699115564,0
